stimulusWord,theCondition,corrResp,stimulusWord_2,theCondition_2,corrResp_2,Conditions_1.thisRepN,Conditions_1.thisTrialN,Conditions_1.thisN,Conditions_1.thisIndex,Conditions_2.thisRepN,Conditions_2.thisTrialN,Conditions_2.thisN,Conditions_2.thisIndex,Instruction_image.started,Instruction_image.stopped,Begin_task.keys,Begin_task.rt,Begin_task.started,Begin_task.stopped,Warning_signal_1.started,Warning_signal_1.stopped,The_word_1.started,The_word_1.stopped,Response_1.keys,Response_1.started,Response_1.stopped,Response_1.rt,Warning_signal_2.started,Warning_signal_2.stopped,The_word_2.started,The_word_2.stopped,Response_2.keys,Response_2.rt,Response_2.started,Response_2.stopped,The_end_text.started,The_end_text.stopped,End_task.keys,End_task.rt,End_task.started,End_task.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,53.241027966025285,None,space,53.21875244600233,53.241027966025285,None,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
CAFE,word,left,,,,0,0,0,5,,,,,,,,,,,106.49642565601971,107.50477803201647,107.49457508901833,None,None,107.49457508901833,None,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
FRIEND,word,left,,,,0,1,1,7,,,,,,,,,,,108.99215522804298,109.99125442100922,109.9671473519993,None,left,109.9671473519993,None,1.2503859660355374,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
BOAT,word,left,,,,0,2,2,8,,,,,,,,,,,111.24884546402609,112.25457524502417,112.21753591904417,None,left,112.21753591904417,None,0.688622520014178,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
PLANT,word,left,,,,0,3,3,1,,,,,,,,,,,112.93373801402049,113.93429742701119,113.93429742701119,None,left,113.93429742701119,None,0.6430252289865166,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
XLFE,nonword,right,,,,0,4,4,11,,,,,,,,,,,114.5996381980367,115.60056079103379,115.58840559900273,None,right,115.58840559900273,None,0.8087659260490909,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
HOME,word,left,,,,0,5,5,9,,,,,,,,,,,116.42337488004705,117.4278116520145,117.41710834903643,None,left,117.41710834903643,None,0.6288534919731319,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
DRIN,nonword,right,,,,0,6,6,15,,,,,,,,,,,118.07009551703231,119.07134378602495,119.04686526005389,None,right,119.04686526005389,None,0.8012025780044496,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
GLIR,nonword,right,,,,0,7,7,18,,,,,,,,,,,119.88863752601901,120.88953704101732,120.87664347002283,None,right,120.87664347002283,None,0.7363378489972092,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
GIRL,word,left,,,,0,8,8,0,,,,,,,,,,,121.62946747703245,122.62470865499927,122.61420074600028,None,left,122.61420074600028,None,0.89571585401427,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
DATA,word,left,,,,0,9,9,6,,,,,,,,,,,123.53249303001212,124.53410070604878,124.50759812601609,None,left,124.50759812601609,None,1.167277290020138,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
FRIND,nonword,right,,,,0,10,10,19,,,,,,,,,,,125.69262189703295,126.68985376600176,126.66692115803016,None,right,126.66692115803016,None,0.9978003680007532,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
KAFF,nonword,right,,,,0,11,11,12,,,,,,,,,,,127.69006461504614,128.68588405800983,128.6735068859998,None,right,128.6735068859998,None,0.9174089379957877,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
STRI,nonword,right,,,,0,12,12,13,,,,,,,,,,,129.60999120003544,130.60648534703068,130.59376486804103,None,None,130.59376486804103,None,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
TRFIC,nonword,right,,,,0,13,13,17,,,,,,,,,,,132.10188728704816,133.1022543310537,133.08776533900527,132.10188728704816,right,133.08776533900527,132.10188728704816,0.6188192070112564,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
CAFO,nonword,right,,,,0,14,14,16,,,,,,,,,,,133.73913308104966,134.74413932103198,134.7178448520135,None,right,134.7178448520135,None,0.6338484240113758,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
NIGHT,word,left,,,,0,15,15,4,,,,,,,,,,,135.3670161140035,136.37056680000387,136.34315597702516,None,left,136.34315597702516,None,0.8634239240200259,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
POKV,nonword,right,,,,0,16,16,10,,,,,,,,,,,137.22296561900293,138.22799615404801,138.21691708703293,None,right,138.21691708703293,None,0.701460538955871,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
NURSE,word,left,,,,0,17,17,3,,,,,,,,,,,138.94479928602232,139.94085921300575,139.92833028401947,None,left,139.92833028401947,None,0.8220694909687154,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
PYSK,nonword,right,,,,0,18,18,14,,,,,,,,,,,140.76604931004113,141.7599722960149,141.74865457700798,None,right,141.74865457700798,None,0.6457183699822053,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
BONE,word,left,,,,0,19,19,2,,,,,,,,,,,142.4242777340114,143.42462716903538,143.41311054403195,None,left,143.41311054403195,None,0.5901373979868367,,,,,,,,,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,BOAT SEAT,word,left,,,,,0,0,0,8,,,,,,,,,,,,,,,144.04577867104672,145.0469489649986,145.034214895044,None,left,1.3570474759908393,145.034214895044,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,KAFF DRINK,nonword,right,,,,,0,1,1,12,,,,,,,,,,,,,,,146.43294459901517,147.45018113905098,147.40484992100392,None,right,0.8194110529730096,147.40484992100392,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,BONE CELL,word,left,,,,,0,2,2,2,,,,,,,,,,,,,,,148.24232987803407,149.23965886601945,149.22654062701622,None,left,1.743878771958407,149.22654062701622,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,DRIN GOLF,nonword,right,,,,,0,3,3,15,,,,,,,,,,,,,,,150.99944229604444,152.01622204703745,151.98947783204494,None,right,0.7805987549945712,151.98947783204494,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,PLANT TREE,word,left,,,,,0,4,4,1,,,,,,,,,,,,,,,152.7948185960413,153.79994550801348,153.77341841801535,None,left,0.898562946007587,153.77341841801535,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,SHOW STRI ,nonword,right,,,,,0,5,5,13,,,,,,,,,,,,,,,154.69386795599712,155.70373215101426,155.6758083710447,None,right,1.0281982140149921,155.6758083710447,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,HOLE BALL,word,left,,,,,0,6,6,7,,,,,,,,,,,,,,,156.72696429101052,157.738420640002,157.7089721210068,None,left,1.146967570995912,157.7089721210068,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,DUST GLIR,nonword,right,,,,,0,7,7,16,,,,,,,,,,,,,,,158.8756881050067,159.870637397049,159.85870123002678,None,right,2.1870798140298575,159.85870123002678,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,NIGHT WORF,nonword,right,,,,,0,8,8,11,,,,,,,,,,,,,,,162.0663183570141,163.0828279480338,163.0659860020387,None,right,1.077825243002735,163.0659860020387,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,DATA TEXT,word,left,,,,,0,9,9,6,,,,,,,,,,,,,,,164.168552105024,165.17095639603212,165.14386656001443,None,left,0.9907939509721473,165.14386656001443,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,AREA CANDLE,word,left,,,,,0,10,10,3,,,,,,,,,,,,,,,166.14951462001773,167.15591914602555,167.13140585500514,None,left,2.098205499991309,167.13140585500514,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,DANCE CAFO,nonword,right,,,,,0,11,11,17,,,,,,,,,,,,,,,169.25480971799698,170.25240212504286,170.23831406299723,None,right,2.4594421049696393,170.23831406299723,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,GIRL CURL,word,left,,,,,0,12,12,0,,,,,,,,,,,,,,,172.71933854202507,173.72260122804437,173.69871998601593,None,None,,173.69871998601593,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,SEAT FOOD,word,left,,,,,0,13,13,4,,,,,,,,,,,,,,,176.70039022003766,177.7064667540253,177.68218660005368,176.70039022003766,right,0.13799790799384937,177.68218660005368,176.70039022003766,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,PYSK STAR,nonword,right,,,,,0,14,14,14,,,,,,,,,,,,,,,177.83827514701989,178.83539066003868,178.82250759500312,None,right,1.4613423079717904,178.82250759500312,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,POKV GAME,nonword,right,,,,,0,15,15,10,,,,,,,,,,,,,,,180.30338955303887,181.31189295701915,181.30039566004416,None,right,1.258258181042038,181.30039566004416,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,TRFI OCEAN,nonword,right,,,,,0,16,16,19,,,,,,,,,,,,,,,182.5778145940276,183.57907091203379,183.56646482803626,None,right,0.8210823279805481,183.56646482803626,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,MOVIE TETRE,nonword,right,,,,,0,17,17,18,,,,,,,,,,,,,,,184.41544571402483,185.4111519390135,185.3998971460387,None,right,1.135623599984683,185.3998971460387,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,CAFE SHOP,word,left,,,,,0,18,18,5,,,,,,,,,,,,,,,186.56535409204662,187.57102924300125,187.54418063501362,None,left,1.2903468369622715,187.54418063501362,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
,,,HOME DECOR,word,left,,,,,0,19,19,9,,,,,,,,,,,,,,,188.87103472900344,189.87238500302192,189.84794777003117,None,right,1.1275668109883554,189.84794777003117,None,,,,,,,5,001,2021_Dec_01_1507,Project_RL,2021.2.3,None,
