stimulusWord,theCondition,corrResp,stimulusWord_2,theCondition_2,corrResp_2,Conditions_1.thisRepN,Conditions_1.thisTrialN,Conditions_1.thisN,Conditions_1.thisIndex,Conditions_2.thisRepN,Conditions_2.thisTrialN,Conditions_2.thisN,Conditions_2.thisIndex,Instruction_image.started,Instruction_image.stopped,Begin_task.keys,Begin_task.rt,Begin_task.started,Begin_task.stopped,Warning_signal_1.started,Warning_signal_1.stopped,The_word_1.started,The_word_1.stopped,Response_1.keys,Response_1.rt,Response_1.started,Response_1.stopped,Warning_signal_2.started,Warning_signal_2.stopped,The_word_2.started,The_word_2.stopped,Response_2.keys,Response_2.rt,Response_2.started,Response_2.stopped,The_end_text.started,The_end_text.stopped,End_task.keys,End_task.rt,End_task.started,End_task.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,10.863948940008413,None,space,21.135621266963426,10.863948940008413,None,,,,,,,,,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
BOAT,word,left,,,,0,0,0,8,,,,,,,,,,,32.03806455602171,33.07553187699523,33.049353367008734,None,right,1.0029301610193215,33.049353367008734,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
FRIEND,word,left,,,,0,1,1,7,,,,,,,,,,,34.08307000203058,35.09632923902245,35.071831309003755,None,right,0.7744229310192168,35.071831309003755,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
NURSE,word,left,,,,0,2,2,3,,,,,,,,,,,35.86622885899851,36.87983896001242,36.867127042030916,None,right,0.48894482001196593,36.867127042030916,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
KAFF,nonword,right,,,,0,3,3,12,,,,,,,,,,,37.38102035300108,38.39509942103177,38.37104067800101,None,left,0.6049873140291311,38.37104067800101,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
GLIR,nonword,right,,,,0,4,4,18,,,,,,,,,,,39.010547335026786,40.01988350303145,40.00889294903027,None,right,0.6101999880047515,40.00889294903027,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
NIGHT,word,left,,,,0,5,5,4,,,,,,,,,,,40.639851922984235,41.65177119401051,41.64254519803217,None,right,0.6824410450062715,41.64254519803217,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
BONE,word,left,,,,0,6,6,2,,,,,,,,,,,42.344833001028746,43.35191120102536,43.34213828900829,None,right,0.5866464130231179,43.34213828900829,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
GIRL,word,left,,,,0,7,7,0,,,,,,,,,,,43.95391423400724,44.96515358699253,44.95514357398497,None,right,0.5017425520345569,44.95514357398497,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
HOME,word,left,,,,0,8,8,9,,,,,,,,,,,45.47550613898784,46.48414112901082,46.472835324006155,None,right,0.6669576779822819,46.472835324006155,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
STRI,nonword,right,,,,0,9,9,13,,,,,,,,,,,47.156301107024774,48.168564563035034,48.159256704035215,None,left,0.6364926059613936,48.159256704035215,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
TRFIC,nonword,right,,,,0,10,10,17,,,,,,,,,,,48.82054375199368,49.82962321199011,49.81803049298469,None,left,0.6936652970034629,49.81803049298469,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
DATA,word,left,,,,0,11,11,6,,,,,,,,,,,50.534291865013074,51.53776887699496,51.53776887699496,None,right,0.5968409819761291,51.53776887699496,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
PYSK,nonword,right,,,,0,12,12,14,,,,,,,,,,,52.163763338990975,53.16566454002168,53.155611909984145,None,left,0.5100963110453449,53.155611909984145,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
DRIN,nonword,right,,,,0,13,13,15,,,,,,,,,,,53.69122725800844,54.69654833798995,54.68464743101504,None,left,0.720981324033346,54.68464743101504,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
CAFO,nonword,right,,,,0,14,14,16,,,,,,,,,,,55.459087523981,56.46502474299632,56.44182016700506,None,left,0.5776093399617821,56.44182016700506,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
PLANT,word,left,,,,0,15,15,1,,,,,,,,,,,57.038235482992604,58.04623867000919,58.03524318401469,None,right,0.7832518729846925,58.03524318401469,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
POKV,nonword,right,,,,0,16,16,10,,,,,,,,,,,58.83769168501021,59.85081021703081,59.83947789698141,None,left,0.6000232410151511,59.83947789698141,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
CAFE,word,left,,,,0,17,17,5,,,,,,,,,,,60.46310516598169,61.4673037250177,61.456039476033766,None,right,0.7203039440209977,61.456039476033766,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
XLFE,nonword,right,,,,0,18,18,11,,,,,,,,,,,62.199345241999254,63.203205523022916,63.203205523022916,None,left,0.5700205219909549,63.203205523022916,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
FRIND,nonword,right,,,,0,19,19,19,,,,,,,,,,,63.790980442019645,64.80172555503668,64.79178127500927,None,left,0.4758596789906733,64.79178127500927,None,,,,,,,,,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
,,,SHOW STRI ,nonword,right,,,,,0,0,0,13,,,,,,,,,,,,,,,65.30150133202551,66.30862118699588,66.30862118699588,None,left,1.301574369019363,66.30862118699588,None,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
,,,GIRL CURL,word,left,,,,,0,1,1,0,,,,,,,,,,,,,,,67.63597557100002,68.65904889500234,68.64213726198068,None,left,0.637124233006034,68.64213726198068,None,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
,,,PYSK STAR,nonword,right,,,,,0,2,2,14,,,,,,,,,,,,,,,69.29661700001452,70.30222127301386,70.29213041003095,None,left,0.6629884109715931,70.29213041003095,None,,,,,,,9,001,2021_Dec_01_1522,Project_RL,2021.2.3,None,
